,logpred
14282777,4.86489699932082
17029381,5.682427322373778
7824740,5.121223705870337
19811650,6.019707752026292
12410741,4.647260451285623
19589738,4.637445118795686
15470255,4.850953068363598
6128434,4.862552783521927
18358465,4.689788769560758
8760362,3.593729052718432
11755946,4.51943447262953
8327302,5.638454751156492
13884363,4.580418850682641
6103273,5.416938201892946
18724232,4.548721026783418
19086978,4.127952046366099
6834210,4.428288831658231
9013556,4.541655805212515
11759260,5.066802173465786
8382187,5.030242371307786
1840445,4.386731292873875
15202859,3.8609531997632933
18361399,5.098243186230252
17881079,4.353438119292763
16227150,5.717325694540314
9770459,4.971290508221907
4341518,4.6793318124577175
10516580,5.011087959698374
16416474,4.680997594699329
5085892,4.729934613513488
13697587,4.2758474903631845
12158766,4.153478204927866
5386312,5.320591329520639
17692345,4.223290556388357
16026765,4.8757134833868525
18505615,4.067738407268175
2262885,4.768141404890319
16674812,4.21900071365753
1628130,5.148537414378221
15379798,4.798156333470484
20173503,6.018648973704393
21173342,4.623555058969415
10019796,4.197213583941203
13116069,5.123242311640673
16245464,4.852222645913341
2298801,5.266600146451499
884803,4.738426115966509
16480090,4.6053653515983575
9855805,4.229362367549183
11407704,4.055963120370524
15572980,4.095139144973499
8457785,5.508286907630565
4115403,5.564546551615086
10138784,4.629760431475089
16592678,4.563700982372651
7194843,4.95330075247017
20754111,5.06164181389521
19808904,5.169029973109711
16240085,4.134515613547167
16390897,5.477187720836318
15217021,5.266898494289954
2899177,4.170770148566837
823880,6.477510058415545
17960485,4.704229990324501
37197,5.359857558025613
17843177,4.610646254017822
20872950,5.82250299734414
12028495,4.874061081063957
14824136,5.138528265822399
5084563,4.555545509492619
9168809,4.6421473545243
16490010,5.192407085900008
752084,4.631264785219252
1391683,3.88889602972417
13862932,4.634995456002538
18969917,5.098594520971506
2536255,4.283253980874087
7401453,3.7777511216286204
8048838,4.540398341851047
17094930,5.346202950352847
1213652,5.4514661941252545
18650533,4.9992601993163035
18428776,4.074011601777722
3497750,4.645084171004897
12784763,4.584106396307167
10166945,5.080807783313386
17024368,5.110104120331319
10550345,4.36255788171847
12135309,5.526468100310631
17845579,3.723432920335876
17887871,4.406379321919215
20310828,4.652215114168867
16367772,4.954641894745407
14007277,5.2029153117018945
10187948,5.268959866674035
1979502,5.299939342910432
4025466,4.510868968254455
7010681,4.782331975066735
2210088,4.6705912458151
16487475,4.831952170799453
7132520,4.370351404110851
6329731,4.465044777983272
16633430,4.637624729038938
1586489,4.0203067655637055
14556587,5.938563525491969
